=== HIGH-DIMENSIONAL OPTIMIZATION ENGINE — TRANSCENDENCE REPORT ===
Generated,2026-07-05T01:09:01.9225609

=== PARALLELISM ANALYSIS ===
Metric,Value
Single-Thread Time (ms),505
8-Thread Parallel Time (ms),642
Speedup Ratio (x),6.2928
Parallel Efficiency (%),78.66

=== ALGORITHM COMPARISON ===
Algorithm,Function,Mean Best Value,Std Dev,Mean Time (ms)
TRANSCENDENCE,Sphere-50D,-0.248035,0.000000,414
APEX SINGULARITY,Sphere-50D,-3.889630,0.018438,45
OMEGA Model (RL+AI+QPSO),Sphere-50D,-120.292615,85.157098,1371
Neuro-Quantum (Surrogate),Sphere-50D,-48.029017,14.260502,17
Q-Island Model (DE+QPSO),Sphere-50D,-21.267337,3.793381,3
Hybrid PSO (Swarm+ASA),Sphere-50D,-1.637507,1.440058,9
Adaptive SA (8-thread),Sphere-50D,-0.095451,0.012111,21
Classic SA (1-thread),Sphere-50D,-8.736632,0.550392,15
Random Search (baseline),Sphere-50D,-219.398737,22.699440,16
TRANSCENDENCE,Ackley-50D,-1.001444,0.000000,321
APEX SINGULARITY,Ackley-50D,-4.524682,0.002758,40
OMEGA Model (RL+AI+QPSO),Ackley-50D,-7.651381,0.506805,1357
Neuro-Quantum (Surrogate),Ackley-50D,-7.826539,0.519364,23
Q-Island Model (DE+QPSO),Ackley-50D,-5.175905,0.411502,10
Hybrid PSO (Swarm+ASA),Ackley-50D,-3.373229,0.226273,18
Adaptive SA (8-thread),Ackley-50D,-9.843264,0.302301,240
Classic SA (1-thread),Ackley-50D,-21.716344,0.098775,194
Random Search (baseline),Ackley-50D,-8.477999,0.145464,30
TRANSCENDENCE,Rastrigin-50D,-70.468399,21.948396,329
APEX SINGULARITY,Rastrigin-50D,-166.173021,0.001131,38
OMEGA Model (RL+AI+QPSO),Rastrigin-50D,-228.568397,323.244526,1321
Neuro-Quantum (Surrogate),Rastrigin-50D,-248.605448,31.474689,22
Q-Island Model (DE+QPSO),Rastrigin-50D,-227.452333,53.002125,10
Hybrid PSO (Swarm+ASA),Rastrigin-50D,-166.982056,43.396200,8
Adaptive SA (8-thread),Rastrigin-50D,-579.139603,14.368008,233
Classic SA (1-thread),Rastrigin-50D,-386.783226,114.794173,184
Random Search (baseline),Rastrigin-50D,-614.789633,19.741991,28
